Light,Temp,RTC,hour,WeekDay,Event,Day,Minutes,Month
512,22.4,2022-12-01 10:50:00,10,Thursday,0,3,650,12
540,20.4,2022-12-01 12:20:00,12,Thursday,0,3,740,12
621,21.9,2022-12-01 14:10:00,14,Thursday,0,3,850,12
639,22.3,2022-12-01 14:20:00,14,Thursday,0,3,860,12
622,21.5,2022-12-01 16:10:00,16,Thursday,0,3,970,12
495,22.2,2022-12-02 06:20:00,6,Friday,0,4,380,12
626,23.1,2022-12-02 08:20:00,8,Friday,1,4,500,12
539,21.6,2022-12-02 09:00:00,9,Friday,0,4,540,12
534,22.1,2022-12-02 10:20:00,10,Friday,0,4,620,12
601,22.2,2022-12-02 12:50:00,12,Friday,0,4,770,12
595,23.5,2022-12-02 14:00:00,14,Friday,0,4,840,12
558,22.0,2022-12-02 15:30:00,15,Friday,0,4,930,12
546,22.1,2022-12-02 21:20:00,21,Friday,1,4,1280,12
492,20.1,2022-12-02 22:20:00,22,Friday,0,4,1340,12
542,22.2,2022-12-03 06:30:00,6,Saturday,1,5,390,12
566,20.5,2022-12-03 06:40:00,6,Saturday,0,5,400,12
539,22.8,2022-12-03 08:40:00,8,Saturday,1,5,520,12
517,21.4,2022-12-03 09:00:00,9,Saturday,0,5,540,12
600,22.2,2022-12-03 10:10:00,10,Saturday,1,5,610,12
506,22.2,2022-12-03 12:20:00,12,Saturday,0,5,740,12
511,23.0,2022-12-03 14:50:00,14,Saturday,1,5,890,12
477,20.5,2022-12-03 15:20:00,15,Saturday,0,5,920,12
541,22.9,2022-12-03 18:00:00,18,Saturday,1,5,1080,12
639,23.9,2022-12-03 20:00:00,20,Saturday,0,5,1200,12
612,22.5,2022-12-04 07:10:00,7,Sunday,1,6,430,12
526,20.9,2022-12-04 15:50:00,15,Sunday,0,6,950,12
612,24.8,2022-12-04 16:50:00,16,Sunday,1,6,1010,12
634,21.0,2022-12-04 17:40:00,17,Sunday,0,6,1060,12
529,21.2,2022-12-04 19:10:00,19,Sunday,1,6,1150,12
493,22.5,2022-12-04 19:50:00,19,Sunday,0,6,1190,12
623,22.2,2022-12-05 06:10:00,6,Monday,1,0,370,12
570,20.0,2022-12-05 07:00:00,7,Monday,0,0,420,12
503,21.0,2022-12-05 08:30:00,8,Monday,1,0,510,12
526,20.5,2022-12-05 13:30:00,13,Monday,0,0,810,12
531,21.9,2022-12-05 19:40:00,19,Monday,1,0,1180,12
621,22.7,2022-12-05 21:40:00,21,Monday,0,0,1300,12
618,24.2,2022-12-06 06:10:00,6,Tuesday,1,1,370,12
485,21.6,2022-12-06 07:40:00,7,Tuesday,0,1,460,12
615,23.7,2022-12-06 09:20:00,9,Tuesday,0,1,560,12
514,22.9,2022-12-06 13:40:00,13,Tuesday,0,1,820,12
625,23.7,2022-12-06 14:00:00,14,Tuesday,0,1,840,12
633,20.2,2022-12-06 14:30:00,14,Tuesday,0,1,870,12
596,23.6,2022-12-06 17:20:00,17,Tuesday,1,1,1040,12
541,21.3,2022-12-06 20:40:00,20,Tuesday,0,1,1240,12
487,22.4,2022-12-06 21:10:00,21,Tuesday,1,1,1270,12
567,23.9,2022-12-07 15:00:00,15,Wednesday,0,2,900,12
643,20.2,2022-12-07 16:30:00,16,Wednesday,0,2,990,12
562,22.6,2022-12-07 17:10:00,17,Wednesday,0,2,1030,12
517,22.4,2022-12-07 20:20:00,20,Wednesday,1,2,1220,12
648,22.1,2022-12-07 20:50:00,20,Wednesday,0,2,1250,12
549,21.3,2022-12-07 22:00:00,22,Wednesday,1,2,1320,12
640,22.1,2022-12-07 22:40:00,22,Wednesday,0,2,1360,12
476,19.9,2022-12-08 14:00:00,14,Thursday,0,3,840,12
634,25.0,2022-12-08 15:00:00,15,Thursday,0,3,900,12
552,22.2,2022-12-08 15:40:00,15,Thursday,0,3,940,12
549,21.3,2022-12-08 16:40:00,16,Thursday,0,3,1000,12
558,23.2,2022-12-08 18:40:00,18,Thursday,1,3,1120,12
560,20.6,2022-12-09 06:40:00,6,Friday,0,4,400,12
623,20.2,2022-12-09 16:40:00,16,Friday,0,4,1000,12
501,23.6,2022-12-11 17:00:00,17,Sunday,0,6,1020,12
488,23.3,2022-12-11 18:40:00,18,Sunday,1,6,1120,12
623,22.1,2022-12-13 11:50:00,11,Tuesday,0,1,710,12
563,21.1,2022-12-13 16:20:00,16,Tuesday,0,1,980,12
648,24.0,2022-12-14 06:10:00,6,Wednesday,0,2,370,12
598,23.8,2022-12-14 09:30:00,9,Wednesday,0,2,570,12
516,19.9,2022-12-14 13:10:00,13,Wednesday,0,2,790,12
513,23.7,2022-12-14 16:00:00,16,Wednesday,0,2,960,12
484,20.2,2022-12-14 16:30:00,16,Wednesday,0,2,990,12
507,23.6,2022-12-14 17:10:00,17,Wednesday,1,2,1030,12
561,19.7,2022-12-14 20:10:00,20,Wednesday,0,2,1210,12
564,21.6,2022-12-14 20:30:00,20,Wednesday,1,2,1230,12
589,22.6,2022-12-15 06:10:00,6,Thursday,0,3,370,12
648,22.2,2022-12-15 07:00:00,7,Thursday,1,3,420,12
532,20.1,2022-12-15 08:40:00,8,Thursday,0,3,520,12
583,22.0,2022-12-15 10:50:00,10,Thursday,0,3,650,12
