Light,Temp,RTC,hour,WeekDay,Event,Day,Minutes,Month
621,21.7,2022-12-01 10:10:00,10,Thursday,0,3,610,12
604,20.8,2022-12-01 11:20:00,11,Thursday,0,3,680,12
496,21.0,2022-12-02 07:10:00,7,Friday,1,4,430,12
513,21.7,2022-12-02 09:20:00,9,Friday,0,4,560,12
557,22.7,2022-12-02 13:00:00,13,Friday,0,4,780,12
596,21.4,2022-12-02 17:30:00,17,Friday,0,4,1050,12
488,20.4,2022-12-03 17:10:00,17,Saturday,1,5,1030,12
632,23.8,2022-12-03 20:10:00,20,Saturday,0,5,1210,12
638,22.0,2022-12-04 13:50:00,13,Sunday,1,6,830,12
592,20.6,2022-12-04 16:20:00,16,Sunday,0,6,980,12
475,21.4,2022-12-04 21:00:00,21,Sunday,1,6,1260,12
602,20.2,2022-12-04 22:10:00,22,Sunday,0,6,1330,12
602,22.9,2022-12-05 19:20:00,19,Monday,1,0,1160,12
567,22.6,2022-12-06 06:10:00,6,Tuesday,0,1,370,12
482,20.3,2022-12-06 07:20:00,7,Tuesday,1,1,440,12
548,21.5,2022-12-06 11:40:00,11,Tuesday,0,1,700,12
583,22.5,2022-12-06 21:10:00,21,Tuesday,1,1,1270,12
609,20.6,2022-12-06 21:40:00,21,Tuesday,0,1,1300,12
489,20.2,2022-12-06 21:50:00,21,Tuesday,1,1,1310,12
562,20.1,2022-12-07 07:00:00,7,Wednesday,0,2,420,12
511,21.4,2022-12-07 10:20:00,10,Wednesday,0,2,620,12
640,20.3,2022-12-07 11:30:00,11,Wednesday,0,2,690,12
492,21.6,2022-12-08 08:20:00,8,Thursday,1,3,500,12
612,23.3,2022-12-08 09:20:00,9,Thursday,0,3,560,12
519,23.8,2022-12-08 10:20:00,10,Thursday,0,3,620,12
566,20.9,2022-12-08 11:20:00,11,Thursday,0,3,680,12
495,21.6,2022-12-08 12:50:00,12,Thursday,0,3,770,12
556,19.6,2022-12-08 13:40:00,13,Thursday,0,3,820,12
552,22.5,2022-12-08 17:40:00,17,Thursday,1,3,1060,12
637,22.8,2022-12-08 18:50:00,18,Thursday,0,3,1130,12
477,23.3,2022-12-08 20:20:00,20,Thursday,1,3,1220,12
622,21.7,2022-12-08 22:30:00,22,Thursday,0,3,1350,12
509,20.1,2022-12-09 06:30:00,6,Friday,1,4,390,12
607,23.1,2022-12-09 08:40:00,8,Friday,0,4,520,12
496,22.6,2022-12-09 08:50:00,8,Friday,1,4,530,12
571,21.7,2022-12-09 09:30:00,9,Friday,0,4,570,12
649,21.4,2022-12-09 11:10:00,11,Friday,0,4,670,12
570,23.4,2022-12-09 15:20:00,15,Friday,0,4,920,12
488,22.7,2022-12-09 19:40:00,19,Friday,1,4,1180,12
636,20.0,2022-12-09 22:30:00,22,Friday,0,4,1350,12
538,22.5,2022-12-11 08:00:00,8,Sunday,1,6,480,12
489,23.9,2022-12-11 09:40:00,9,Sunday,0,6,580,12
548,21.2,2022-12-11 10:10:00,10,Sunday,1,6,610,12
580,22.3,2022-12-11 11:40:00,11,Sunday,0,6,700,12
500,23.1,2022-12-11 12:10:00,12,Sunday,1,6,730,12
481,20.9,2022-12-11 15:50:00,15,Sunday,0,6,950,12
642,23.9,2022-12-12 08:20:00,8,Monday,1,0,500,12
513,23.8,2022-12-12 10:20:00,10,Monday,0,0,620,12
603,21.6,2022-12-12 13:00:00,13,Monday,0,0,780,12
476,20.1,2022-12-12 19:10:00,19,Monday,0,0,1150,12
560,20.6,2022-12-12 21:30:00,21,Monday,1,0,1290,12
513,22.8,2022-12-12 22:30:00,22,Monday,0,0,1350,12
632,22.6,2022-12-13 06:00:00,6,Tuesday,1,1,360,12
482,22.4,2022-12-13 09:20:00,9,Tuesday,0,1,560,12
587,23.2,2022-12-13 12:30:00,12,Tuesday,0,1,750,12
505,21.2,2022-12-13 14:00:00,14,Tuesday,0,1,840,12
641,23.6,2022-12-13 14:10:00,14,Tuesday,0,1,850,12
470,21.1,2022-12-13 15:10:00,15,Tuesday,0,1,910,12
555,23.3,2022-12-13 17:10:00,17,Tuesday,1,1,1030,12
592,21.5,2022-12-13 22:10:00,22,Tuesday,0,1,1330,12
511,20.2,2022-12-15 07:30:00,7,Thursday,1,3,450,12
471,21.9,2022-12-15 08:40:00,8,Thursday,0,3,520,12
590,22.4,2022-12-15 11:20:00,11,Thursday,0,3,680,12
632,22.1,2022-12-15 13:20:00,13,Thursday,0,3,800,12
541,22.3,2022-12-15 22:00:00,22,Thursday,1,3,1320,12
